"","Monitoring_Location_ID","Activity_ID","Characteristic_Name","Organization_ID","Project_ID","Activity_Type","Activity_Start_Date","Laboratory_Name","Result_Value_Type","Result_Value","Subject_Taxonomic_Name","Activity_Media","Sample_Collection_Method_ID","Detection_Limit_Unit","Detection_Limit_Value","Characteristic_Name_abr","Mass_g","Length_cm","n","Sum_PFAS","Waterbody","Location_ID","Region","Latitude","Longitude","pct_PFAS","Year","Month"
"12","ANA0082","2021FTC_ANAC_C","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.798,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFTrDA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0639576821351286,2021,10
"13","ANA0082","2021FTC_ANAC_A","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.448,"EtFOSA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"15","ANA0082","2021FTC_ANAC_A","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFHxA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"16","ANA0082","2021FTC_ANAC_D","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFHxA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"17","ANA0082","2021FTC_ANAC_A","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFDA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"18","ANA0082","2021FTC_ANAC_D","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFOA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"20","ANA0082","2021FTC_ANAC_D","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFHpA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"21","ANA0082","2021FTC_ANAC_A","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFNA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"24","ANA0082","2021FTC_ANAC_D","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",8.53,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFOS",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.672765991008755,2021,10
"25","ANA0082","2021FTC_ANAC_C","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",1.17,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFODA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0937725414763164,2021,10
"26","ANA0082","2021FTC_ANAC_C","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFBS",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"28","ANA0082","2021FTC_ANAC_B","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFOA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"29","ANA0082","2021FTC_ANAC_D","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.793,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFTrDA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0625443646975314,2021,10
"30","ANA0082","2021FTC_ANAC_A","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFHpA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"33","ANA0082","2021FTC_ANAC_D","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFNA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"34","ANA0082","2021FTC_ANAC_B","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFHpA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"35","ANA0082","2021FTC_ANAC_D","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFHxS",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"36","ANA0082","2021FTC_ANAC_D","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",1.13,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFODA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0891237479296474,2021,10
"37","ANA0082","2021FTC_ANAC_D","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.448,"EtFOSA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"38","ANA0082","2021FTC_ANAC_D","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Micropterus salmoides","Tissue","SP-003","ng/g",0.448,"NMeFOSA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"39","ANA0082","2021FTC_ANAC_A","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFUnA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"40","ANA0082","2021FTC_ANAC_C","perfluoroheptanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFHpA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"43","ANA0082","2021FTC_ANAC_A","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFOA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"44","ANA0082","2021FTC_ANAC_A","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFTrDA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"45","ANA0082","2021FTC_ANAC_B","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.972,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFOS",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.616360177552315,2021,10
"48","ANA0082","2021FTC_ANAC_B","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFUnA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"50","ANA0082","2021FTC_ANAC_D","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.808,"Micropterus salmoides","Tissue","SP-003","ng/g",0.224,"PFTeDA",923.25,380,4,12.679,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.0637274232983674,2021,10
"51","ANA0082","2021FTC_ANAC_A","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.448,"NMeFOSA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"52","ANA0082","2021FTC_ANAC_C","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",8.42,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFOS",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.674841708744089,2021,10
"55","ANA0082","2021FTC_ANAC_B","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFHxA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"56","ANA0082","2021FTC_ANAC_B","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.448,"EtFOSA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"57","ANA0082","2021FTC_ANAC_A","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFBS",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"58","ANA0082","2021FTC_ANAC_A","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFTeDA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"59","ANA0082","2021FTC_ANAC_B","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.605,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFODA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.383639822447685,2021,10
"61","ANA0082","2021FTC_ANAC_B","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFTeDA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"62","ANA0082","2021FTC_ANAC_B","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFTrDA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"63","ANA0082","2021FTC_ANAC_C","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0.473,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFDA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0.037909753947263,2021,10
"64","ANA0082","2021FTC_ANAC_C","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Morone americana","Tissue","SP-003","ng/g",0.224,"PFNA",140.4,203,5,12.477,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"66","ANA0082","2021FTC_ANAC_A","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFODA",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"69","ANA0082","2021FTC_ANAC_B","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.448,"NMeFOSA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"72","ANA0082","2021FTC_ANAC_B","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFNA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"73","ANA0082","2021FTC_ANAC_B","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFHxS",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"76","ANA0082","2021FTC_ANAC_B","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFDA",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"77","ANA0082","2021FTC_ANAC_A","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",1.36,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFOS",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",1,2021,10
"78","ANA0082","2021FTC_ANAC_A","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus punctatus","Tissue","SP-003","ng/g",0.224,"PFHxS",739.6,427,5,1.36,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"81","ANA0082","2021FTC_ANAC_B","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-06,"Alpha Analytical","Actual",0,"Ictalurus furcatus","Tissue","SP-003","ng/g",0.224,"PFBS",1640.6,540,5,1.577,"Anacostia River","Bladensburg Road","Metro","38 56.329","76 56.625",0,2021,10
"85","BYN0007","2021FTC_BYNU_B","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFHxS",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"86","BYN0007","2021FTC_BYNU_A","octadecanoic acid, pentatriacontafluoro-","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",1.12,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFODA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.084407265053885,2021,10
"87","BYN0007","2021FTC_BYNU_A","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",7.97,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFOS",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.600648127213807,2021,10
"90","BYN0007","2021FTC_BYNU_A","perfluorooctanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFOA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"91","BYN0007","2021FTC_BYNU_A","perfluorohexanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFHxS",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"92","BYN0007","2021FTC_BYNU_B","perfluorotetradecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0.63,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFTeDA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.0482352040425695,2021,10
"93","BYN0007","2021FTC_BYNU_A","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFBS",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"94","BYN0007","2021FTC_BYNU_A","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFNA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"95","BYN0007","2021FTC_BYNU_B","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0.736,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFDA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.0563509685322716,2021,10
"96","BYN0007","2021FTC_BYNU_A","perfluorodecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0.889,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFDA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.0669982666365212,2021,10
"98","BYN0007","2021FTC_BYNU_B","perfluorotridecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0.875,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFTrDA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.0669933389480132,2021,10
"100","BYN0007","2021FTC_BYNU_A","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.466,"NMeFOSA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"101","BYN0007","2021FTC_BYNU_B","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFHxA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"102","BYN0007","2021FTC_BYNU_B","n-methylperfluoro-1-octanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.463,"NMeFOSA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"103","BYN0007","2021FTC_BYNU_B","perfluorooctane sulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",8.38,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFOS",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.641604777582115,2021,10
"104","BYN0007","2021FTC_BYNU_B","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",1.33,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFUnA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.10182987520098,2021,10
"107","BYN0007","2021FTC_BYNU_A","n-ethyl-n-(2-hydroxyethyl)perfluorooctanesulfonamide","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.466,"EtFOSA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"108","BYN0007","2021FTC_BYNU_A","perfluoroundecanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",1.11,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFUnA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0.083653628758761,2021,10
"110","BYN0007","2021FTC_BYNU_A","perfluorohexanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis gibbosus","Tissue","SP-003","ng/g",0.233,"PFHxA",38,126,5,13.269,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"113","BYN0007","2021FTC_BYNU_B","perfluorobutanesulfonic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFBS",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
"114","BYN0007","2021FTC_BYNU_B","perfluorononanoic acid","MDE","FTSAMPLECOL2021","Sample-Routine",2021-10-12,"Alpha Analytical","Actual",0,"Lepomis auritus","Tissue","SP-003","ng/g",0.231,"PFNA",83.2,166.8,5,13.061,"Bynum Run","Route 7","Metro","39 28.301","76 16.028",0,2021,10
